iter	Logloss
0	0.6053118447
1	0.5546558086
2	0.5381916585
3	0.5243432906
4	0.494869504
5	0.4773825387
6	0.4646065639
7	0.4569254076
8	0.4491068686
9	0.4437021004
10	0.4366122841
11	0.4314631142
12	0.427972939
13	0.4229254552
14	0.4203009457
15	0.4175782421
16	0.4149837239
17	0.4128084496
18	0.4110936465
19	0.4080815749
20	0.4060469447
21	0.4045151832
22	0.4028333515
23	0.4013471745
24	0.3997824122
25	0.3986261349
26	0.396751077
27	0.3958001762
28	0.3938385474
29	0.3928153961
30	0.3904510821
31	0.3897648948
32	0.388984547
33	0.3880375943
34	0.3873608074
35	0.3868064946
36	0.3861755612
37	0.3854531516
38	0.3848632719
39	0.3841541669
40	0.3834559389
41	0.3828591994
42	0.382315261
43	0.381842817
44	0.3804827193
45	0.3785819478
46	0.3778978666
47	0.3774327783
48	0.3768753631
49	0.3762618556
50	0.3758335889
51	0.3753821701
52	0.3749612681
53	0.3746002468
54	0.3741072931
55	0.37373808
56	0.3733952469
57	0.3727005812
58	0.3724566629
59	0.3721748598
60	0.3718637627
61	0.3714619534
62	0.3712410853
63	0.3708912484
64	0.3706335926
65	0.370137847
66	0.3698551088
67	0.3690334512
68	0.3687871865
69	0.368602538
70	0.3677334446
71	0.367546894
72	0.3671819592
73	0.3668641991
74	0.3666066118
75	0.3664357502
76	0.366278066
77	0.3659768375
78	0.3651274682
79	0.364893101
80	0.3646721229
81	0.3644576571
82	0.3642905621
83	0.3640867217
84	0.363932044
85	0.3636326282
86	0.3634919602
87	0.363353421
88	0.3623682441
89	0.3622139272
90	0.3620201207
91	0.3618776347
92	0.3617015547
93	0.3615201711
94	0.3612721634
95	0.3609268719
96	0.3607749914
97	0.3604799243
98	0.3603696322
99	0.3602267094
