iter	Passed	Remaining
0	96	9584
1	148	7276
2	193	6250
3	242	5811
4	289	5501
5	338	5310
6	385	5116
7	431	4964
8	474	4795
9	509	4589
10	547	4428
11	587	4310
12	623	4174
13	661	4064
14	698	3959
15	738	3878
16	778	3802
17	813	3703
18	851	3631
19	899	3598
20	948	3566
21	989	3508
22	1030	3448
23	1071	3394
24	1112	3338
25	1150	3275
26	1188	3214
27	1226	3153
28	1264	3096
29	1312	3061
30	1359	3026
31	1395	2965
32	1441	2926
33	1476	2867
34	1512	2809
35	1549	2755
36	1587	2702
37	1623	2649
38	1660	2596
39	1695	2542
40	1736	2499
41	1773	2448
42	1818	2410
43	1865	2374
44	1915	2340
45	1958	2298
46	1995	2250
47	2030	2199
48	2064	2149
49	2102	2102
50	2139	2055
51	2173	2006
52	2207	1957
53	2240	1908
54	2280	1865
55	2317	1820
56	2353	1775
57	2390	1730
58	2426	1685
59	2464	1642
60	2503	1600
61	2540	1557
62	2576	1513
63	2610	1468
64	2647	1425
65	2686	1384
66	2723	1341
67	2761	1299
68	2804	1260
69	2850	1221
70	2896	1183
71	2937	1142
72	2979	1102
73	3017	1060
74	3050	1016
75	3088	975
76	3124	933
77	3160	891
78	3201	851
79	3248	812
80	3291	771
81	3333	731
82	3375	691
83	3411	649
84	3447	608
85	3484	567
86	3520	526
87	3559	485
88	3598	444
89	3645	405
90	3686	364
91	3728	324
92	3773	284
93	3811	243
94	3855	202
95	3892	162
96	3928	121
97	3968	80
98	4008	40
99	4046	0
